technology,total_applications,total_hired,hiring_rate,avg_code_score,avg_interview_score
"Game Development",3818,519,13.59,5.00,5.08
DevOps,3808,495,13.00,4.96,4.97
"Social Media Community Management",2028,237,11.69,4.83,4.95
"System Administration",2014,293,14.55,5.02,5.08
Mulesoft,1973,260,13.18,5.00,5.00
"Development - Backend",1965,255,12.98,5.03,4.99
"Development - FullStack",1961,254,12.95,5.06,5.02
"Adobe Experience Manager",1954,282,14.43,4.99,5.00
"Data Engineer",1951,255,13.07,4.88,4.93
Security,1936,266,13.74,5.06,5.01
"Business Intelligence",1934,254,13.13,4.99,4.93
"Development - CMS Frontend",1934,251,12.98,5.03,4.97
"Database Administration",1933,282,14.59,5.02,5.01
"Client Success",1927,271,14.06,5.09,4.94
Design,1906,249,13.06,4.98,4.97
"QA Manual",1902,259,13.62,5.16,4.99
"Technical Writing",1901,223,11.73,4.85,4.82
"QA Automation",1892,243,12.84,4.90,5.09
Sales,1890,239,12.65,5.00,4.93
"Development - Frontend",1887,266,14.10,5.06,5.09
"Development - CMS Backend",1882,284,15.09,4.93,5.11
"Business Analytics / Project Management",1878,255,13.58,5.02,5.08
Salesforce,1874,256,13.66,5.12,4.96
"Security Compliance",1852,250,13.50,4.95,5.14
